epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,4063.58,0.91832,0.54066,0.94304,0.84975,0.81418,0.85496,0.54237,1.24828,0.73161,1.07238,0.000522771,0.000522771,0.000522771
106,4102.19,0.91667,0.53861,0.93534,0.85082,0.82639,0.85409,0.54325,1.24312,0.71378,1.07784,0.000511769,0.000511769,0.000511769
107,4140.79,0.90837,0.54113,0.93834,0.87163,0.80961,0.86108,0.54952,1.23259,0.71612,1.0762,0.000500767,0.000500767,0.000500767
108,4180.97,0.90941,0.54532,0.93747,0.8777,0.8229,0.8647,0.54524,1.23502,0.70949,1.06653,0.000489765,0.000489765,0.000489765
109,4221.92,0.90047,0.53772,0.9375,0.86318,0.81665,0.85626,0.5427,1.23692,0.73689,1.06869,0.000478762,0.000478762,0.000478762
110,4261.3,0.90479,0.53708,0.93825,0.86337,0.81615,0.85867,0.54092,1.23447,0.71657,1.07683,0.00046776,0.00046776,0.00046776
111,4300.62,0.91144,0.53109,0.94033,0.85203,0.82336,0.84855,0.53404,1.25065,0.72109,1.07488,0.000456758,0.000456758,0.000456758
112,4339.96,0.8897,0.52835,0.93378,0.85825,0.80744,0.84715,0.53958,1.2411,0.73828,1.0753,0.000445756,0.000445756,0.000445756
113,4379.22,0.89187,0.52793,0.93191,0.86321,0.82034,0.86141,0.55506,1.21413,0.69849,1.07028,0.000434754,0.000434754,0.000434754
114,4418.5,0.88387,0.52079,0.92851,0.86815,0.80725,0.85731,0.54737,1.24132,0.71415,1.07717,0.000423751,0.000423751,0.000423751
115,4457.79,0.87417,0.51868,0.935,0.88449,0.79692,0.85535,0.54933,1.22107,0.71177,1.06037,0.000412749,0.000412749,0.000412749
116,4497.13,0.8797,0.52011,0.92641,0.86259,0.81438,0.84347,0.53654,1.23665,0.71844,1.0831,0.000401747,0.000401747,0.000401747
117,4536.39,0.86429,0.50332,0.9239,0.86464,0.82726,0.85368,0.54475,1.22057,0.72452,1.06766,0.000390745,0.000390745,0.000390745
118,4575.69,0.87165,0.5071,0.92429,0.85713,0.81799,0.84218,0.53253,1.24429,0.73157,1.06794,0.000379743,0.000379743,0.000379743
119,4615.13,0.85431,0.49678,0.9201,0.86779,0.81635,0.86147,0.54834,1.2384,0.71537,1.07298,0.00036874,0.00036874,0.00036874
120,4654.45,0.85483,0.49762,0.918,0.87983,0.81817,0.8509,0.54843,1.22661,0.70786,1.075,0.000357738,0.000357738,0.000357738
121,4693.76,0.86397,0.49705,0.91545,0.87451,0.81015,0.8495,0.54905,1.22358,0.72339,1.07372,0.000346736,0.000346736,0.000346736
122,4733.06,0.85761,0.4953,0.91327,0.86219,0.8112,0.84566,0.54182,1.23455,0.7205,1.0739,0.000335734,0.000335734,0.000335734
123,4772.25,0.84438,0.48722,0.9089,0.84724,0.84002,0.85668,0.54596,1.22805,0.71876,1.07468,0.000324732,0.000324732,0.000324732
124,4811.57,0.85687,0.49845,0.91488,0.8633,0.82712,0.85943,0.55199,1.22664,0.70611,1.071,0.000313729,0.000313729,0.000313729
125,4850.85,0.83637,0.48901,0.91072,0.86857,0.81948,0.86205,0.55274,1.22448,0.71086,1.07604,0.000302727,0.000302727,0.000302727
126,4890.03,0.83893,0.48526,0.91577,0.88434,0.8179,0.86066,0.55172,1.2342,0.70728,1.0841,0.000291725,0.000291725,0.000291725
127,4929.37,0.83951,0.4854,0.91816,0.85856,0.82824,0.85736,0.55157,1.21752,0.70497,1.06869,0.000280723,0.000280723,0.000280723
128,4968.6,0.83071,0.48395,0.90885,0.87006,0.83587,0.86401,0.55418,1.22279,0.70313,1.07213,0.000269721,0.000269721,0.000269721
129,5007.96,0.82136,0.48224,0.90447,0.87711,0.81714,0.86295,0.55028,1.23531,0.71225,1.07849,0.000258718,0.000258718,0.000258718
130,5047.24,0.82842,0.48381,0.91396,0.85394,0.82655,0.85984,0.54904,1.2317,0.69968,1.07001,0.000247716,0.000247716,0.000247716
131,5086.51,0.8206,0.48075,0.90836,0.8691,0.83178,0.86135,0.55487,1.21482,0.69647,1.06979,0.000236714,0.000236714,0.000236714
132,5125.8,0.80956,0.47912,0.90075,0.86683,0.83497,0.86159,0.55213,1.2093,0.71114,1.06157,0.000225712,0.000225712,0.000225712
133,5165.04,0.81449,0.47699,0.90496,0.85768,0.83432,0.85756,0.55271,1.21515,0.71453,1.06065,0.00021471,0.00021471,0.00021471
134,5204.34,0.8083,0.47084,0.90601,0.86093,0.83393,0.86225,0.56176,1.21204,0.70648,1.06697,0.000203707,0.000203707,0.000203707
135,5243.7,0.80046,0.47134,0.91206,0.85956,0.83086,0.85802,0.55151,1.21024,0.70609,1.06687,0.000192705,0.000192705,0.000192705
136,5283.02,0.80828,0.46982,0.90299,0.86245,0.83317,0.85811,0.55814,1.2084,0.69653,1.06194,0.000181703,0.000181703,0.000181703
137,5322.34,0.80061,0.47104,0.89951,0.86658,0.83507,0.86026,0.55345,1.20513,0.70228,1.06798,0.000170701,0.000170701,0.000170701
138,5361.63,0.80895,0.47063,0.90319,0.85544,0.85263,0.86402,0.55782,1.20587,0.69697,1.06971,0.000159699,0.000159699,0.000159699
139,5400.94,0.79161,0.4548,0.90163,0.86779,0.8418,0.86519,0.55902,1.20017,0.7058,1.06067,0.000148696,0.000148696,0.000148696
140,5440.18,0.79343,0.46487,0.89894,0.86447,0.85552,0.86767,0.55879,1.19354,0.68942,1.05997,0.000137694,0.000137694,0.000137694
141,5562.28,0.75717,0.41401,0.8756,0.85818,0.84423,0.86941,0.56303,1.20527,0.6865,1.06653,0.000126692,0.000126692,0.000126692
142,5601.54,0.76289,0.42004,0.87295,0.87918,0.83268,0.87084,0.56409,1.20846,0.68022,1.06314,0.00011569,0.00011569,0.00011569
143,5640.8,0.7657,0.42546,0.87327,0.86571,0.84008,0.86822,0.56222,1.2018,0.68813,1.0644,0.000104688,0.000104688,0.000104688
144,5680.02,0.7504,0.41434,0.86607,0.87585,0.83097,0.87272,0.56619,1.20302,0.67897,1.06114,9.36854e-05,9.36854e-05,9.36854e-05
145,5719.38,0.74271,0.41124,0.86748,0.86882,0.84047,0.87167,0.56352,1.20165,0.68281,1.05867,8.26832e-05,8.26832e-05,8.26832e-05
146,5758.69,0.73121,0.4044,0.86576,0.87289,0.84209,0.8768,0.56667,1.20189,0.68119,1.0645,7.1681e-05,7.1681e-05,7.1681e-05
147,5798.03,0.74038,0.40718,0.87158,0.87602,0.83625,0.87316,0.56516,1.20651,0.68636,1.06365,6.06788e-05,6.06788e-05,6.06788e-05
148,5837.28,0.72241,0.40113,0.86384,0.87837,0.83228,0.87218,0.56281,1.20451,0.68596,1.0672,4.96766e-05,4.96766e-05,4.96766e-05
149,5876.54,0.72264,0.40042,0.86133,0.88339,0.83107,0.87345,0.56439,1.20281,0.68649,1.06697,3.86744e-05,3.86744e-05,3.86744e-05
150,5915.78,0.73118,0.40322,0.866,0.86818,0.84449,0.87588,0.5662,1.20345,0.68469,1.06642,2.76722e-05,2.76722e-05,2.76722e-05
