epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,4137.47,0.80041,0.49335,0.92964,0.85401,0.80546,0.84148,0.52379,1.33811,0.77861,1.11928,0.000324732,0.000324732,0.000324732
124,4170.51,0.81198,0.50274,0.93756,0.85251,0.79276,0.84155,0.52285,1.33656,0.77252,1.11439,0.000313729,0.000313729,0.000313729
125,4203.45,0.7945,0.49271,0.92478,0.8641,0.79609,0.84895,0.52908,1.32988,0.76123,1.111,0.000302727,0.000302727,0.000302727
126,4236.47,0.80211,0.50546,0.93281,0.86484,0.78678,0.83471,0.52264,1.33756,0.76246,1.11978,0.000291725,0.000291725,0.000291725
127,4269.45,0.79877,0.49345,0.93959,0.82433,0.81383,0.83782,0.52075,1.34176,0.79233,1.11749,0.000280723,0.000280723,0.000280723
128,4302.36,0.77944,0.48693,0.92195,0.87289,0.77182,0.8352,0.52317,1.33465,0.7899,1.11193,0.000269721,0.000269721,0.000269721
129,4335.26,0.79596,0.48376,0.92676,0.87763,0.77758,0.8398,0.52389,1.33291,0.77423,1.12175,0.000258718,0.000258718,0.000258718
130,4368.16,0.77464,0.47348,0.92591,0.88799,0.76529,0.84056,0.5227,1.3368,0.79429,1.11795,0.000247716,0.000247716,0.000247716
131,4401.01,0.77095,0.4759,0.92297,0.88672,0.77567,0.83985,0.52177,1.33841,0.77292,1.11762,0.000236714,0.000236714,0.000236714
132,4433.87,0.77954,0.47626,0.92936,0.86061,0.78588,0.83903,0.5294,1.32176,0.78436,1.11668,0.000225712,0.000225712,0.000225712
133,4466.84,0.76313,0.4754,0.92523,0.86719,0.77934,0.84054,0.52978,1.31933,0.78078,1.11557,0.00021471,0.00021471,0.00021471
134,4499.74,0.77111,0.46965,0.92242,0.86992,0.78798,0.84192,0.52436,1.32165,0.77995,1.11225,0.000203707,0.000203707,0.000203707
135,4532.6,0.75306,0.46322,0.92278,0.85947,0.79448,0.83874,0.52245,1.33147,0.77708,1.11544,0.000192705,0.000192705,0.000192705
136,4565.51,0.73489,0.45358,0.92083,0.88502,0.77684,0.84219,0.52902,1.32125,0.77628,1.11508,0.000181703,0.000181703,0.000181703
137,4598.4,0.72976,0.45552,0.91489,0.87694,0.78925,0.83754,0.52747,1.32059,0.78555,1.10981,0.000170701,0.000170701,0.000170701
138,4631.34,0.74066,0.45197,0.91477,0.87265,0.78156,0.84284,0.52858,1.32072,0.78329,1.11304,0.000159699,0.000159699,0.000159699
139,4664.24,0.74107,0.46331,0.91499,0.87002,0.78943,0.83831,0.53089,1.3217,0.76843,1.12394,0.000148696,0.000148696,0.000148696
140,4697.24,0.72808,0.44703,0.90801,0.84296,0.80578,0.84331,0.53332,1.32481,0.77574,1.11814,0.000137694,0.000137694,0.000137694
141,4829.4,0.69408,0.40881,0.8848,0.86886,0.78066,0.84039,0.53397,1.31721,0.78036,1.11664,0.000126692,0.000126692,0.000126692
142,4862.34,0.70015,0.40621,0.88698,0.85936,0.79025,0.84127,0.534,1.30993,0.76971,1.10866,0.00011569,0.00011569,0.00011569
143,4895.26,0.69273,0.40321,0.88157,0.85595,0.79925,0.84432,0.53463,1.32267,0.77356,1.11798,0.000104688,0.000104688,0.000104688
144,4928.21,0.69259,0.40196,0.88055,0.87634,0.78897,0.84265,0.53326,1.31853,0.76612,1.11701,9.36854e-05,9.36854e-05,9.36854e-05
145,4961.06,0.67418,0.39153,0.87918,0.8914,0.77684,0.84845,0.53735,1.31895,0.76444,1.11535,8.26832e-05,8.26832e-05,8.26832e-05
146,4993.98,0.67331,0.39274,0.87985,0.84691,0.8091,0.84189,0.53378,1.31663,0.76333,1.11569,7.1681e-05,7.1681e-05,7.1681e-05
147,5026.88,0.66761,0.39392,0.87911,0.84168,0.81803,0.84035,0.53256,1.31734,0.76671,1.11533,6.06788e-05,6.06788e-05,6.06788e-05
148,5059.79,0.66338,0.38653,0.8775,0.89329,0.77037,0.84598,0.53449,1.31964,0.7694,1.11476,4.96766e-05,4.96766e-05,4.96766e-05
149,5092.69,0.67235,0.39388,0.87854,0.88953,0.77688,0.84486,0.53714,1.30935,0.76629,1.11381,3.86744e-05,3.86744e-05,3.86744e-05
150,5125.58,0.64552,0.38032,0.87306,0.89006,0.7741,0.84404,0.53573,1.31415,0.77164,1.11416,2.76722e-05,2.76722e-05,2.76722e-05
